Q31	country in western Europe
Q2077	year
Q2091	year
Q2096	capital city of the province of Alberta, Canada
Q2100	city in North Rhine-Westphalia, Germany
Q2119	city in Baden-Württemberg, Germany
Q2132	capital city of the province of British Columbia, Canada
Q2165	year
Q2207	city of the Philippines in the province of Camarines Sur
Q2229	municipality in Vestfold og Telemark county, Norway
Q2230	municipality in the district of Fürth, in Bavaria, Germany
Q2236	municipality in Vestfold og Telemark county, Norway
Q2241	municipality in Vestfold og Telemark county, Norway
Q2272	municipality in Vestfold and Telemark county, Norway
Q2423	city in the center of European Russia
Q2471	capital city of Yemen
Q2474	year
Q2475	year
Q2477	year
Q2644	year
Q2650	year
Q2674	Italian association football club
Q2683	city in the northern Italian region of Emilia-Romagna
Q2751	city in Tuscany, Italy and capital of the province of Siena
Q2756	Italian football club
Q2810	administrative division (oblast) in western Russia
Q2876	district in Germany
Q2933	capital of Paraguay
Q2947	German district
Q3001	capital of Suriname
Q3093	French department
Q3240	French department in Provence-Alpes-Côte d'Azur
Q3323	city in the south of Russia
Q3327	commune in Hautes-Pyrénées, France
Q3344	arrondissement of Lyon, France
Q3377	French department
Q3543	Italian comune
Q3549	city in Šibenik-Knin County, Croatia
Q3586	province of Indonesia, on island of Java
Q3680	administrative division (krai) in the North Caucasus region of southern Russia
Q3750	town in Thuringia, Germany
Q3751	capital of Cape Verde
Q3761	capital city of Ghana
Q3769	overseas French department in the Guianas region
Q3799	capital of Benin
Q3802	city in Main-Kinzig-Kreis in Hesse, Germany
Q3825	capital of Gabon
Q3838	capital city of the Democratic Republic of the Congo
Q3874	seat of Landkreis Gießen and city in Hesse, Germany
Q3881	capital of Zambia
Q3886	town in Recklinghausen District, in North Rhine-Westphalia, Germany
Q3908	autonomous community of Spain
Q3936	town in Bavaria, Germany
Q3941	oblast of Russia
Q3942	town in Bavaria, Germany
Q3949	town in Unna District, in North Rhine-Westphalia, Germany
Q3955	city in the federal state of Thuringia, Germany
Q4074	town in the Euskirchen district, in North Rhine-Westphalia, Germany
Q4094	town in the district of Mettmann, in North Rhine-Westphalia, Germany
Q4100	town in Baden-Württemberg, Germany
Q4126	town in Bavaria, Germany
Q4131	town in South Lanarkshire, Scotland
Q4190	town in Lower Bavaria, Germany
Q4582	city in O'Higgins Region, Chile
Q4597	currency of the Solomon Islands
Q4614	private research university in Los Angeles, California, United States
Q5206	capital city of Stavropol Krai in North Caucaus, Russia
Q5221	year
Q5259	year
Q5285	city of the Philippines and capital of the province of Tarlac
Q5317	Observation tower in Seattle, Washington, U.S.
Q5449	capital city of the Mari El Republic, Russia
Q5580	German painter, printmaker, mathematician, and theorist
Q5632	town in the Hochsauerland district, in North Rhine-Westphalia, Germany
Q5693	region of Finland
Q5710	republic and federal subject of Russia
Q5779	city of Aceh Special Region Province, Indonesia
Q5813	autonomous community of Spain
Q5826	capital of Shaanxi Province, China
Q5836	municipality in central Spain
Q5849	15-a-side team sport, code of rugby football
Q5869	prefecture-level city and capital of Tibet
Q6015	town in the Hochsauerland district, in North Rhine-Westphalia, Germany
Q6106	city in and county seat of Multnomah County, Oregon, United States
Q6149	town in North Rhine-Westphalia, Germany
Q6225	city in the West Midlands in England, UK
Q6259	Italian comune
Q6393	French commune in Corrèze, Nouvelle-Aquitaine
Q6441	city in Hérault, France
Q6477	town in the Free State of Saxony, Germany
Q6543	federal subject of Russia, republic of Russia
Q6596	Italian comune
Q6716	Italian comune
Q6767	Italian association football club
Q6816	city in eastern Russia
Q6880	town and a municipality in Saarland, Germany
Q6898	year
Q6914	year
Q6937	year
Q6976	year
Q6998	town in Bavaria, Germany
Q7007	town in the district Anhalt-Bitterfeld, Saxony-Anhalt, Germany
Q7015	century
Q7018	century
Q7024	city in Ticino, Switzerland
Q7036	town in the Rhein-Erft district, in North Rhine-Westphalia, Germany
Q7044	town in Hochtaunuskreis in Hesse, Germany
Q7183	the first imperial dynasty of China ruling from 221 to 206 BC
Q7318	Germany from 1933 to 1945 while under control of the Nazi Party
Q7320	Adolf Hitler's far-right fascist party in Germany between 1920 and 1945
Q7507	town in the Rheinisch-Bergischer Kreis, in North Rhine-Westphalia, Germany
Q7525	port city in Crimea
Q7550	city in Ukraine
Q7560	female parent
Q7561	precipitation in the form of ice crystal flakes
Q7579	year
Q7584	year
Q7640	year
Q7665	year
Q7683	year
Q7692	year
Q7707	ballgame-team sport played in water by teams competing to put the ball into the opponent's goal
Q7765	year
Q7766	year
Q7772	year
Q7788	federal subject of Russia
Q7806	year
Q7815	year
Q7844	year
Q7847	year
Q7971	federal subject of Russia
Q8093	Japanese multinational video game and consumer electronics company
Q8131	city of South Sumatra Province, Indonesia
Q8194	town and administrative center of Iława district in Warmian-Masurian Voivodeship of northeastern Poland
Q8288	Wikimedia chapter in Germany
Q8319	major tributary of the Mississippi River, United States
Q8413	Roman emperor (274-337)
Q8488	Games of the XXV Olympiad, held in Barcelona in 1992
Q8558	Games of the XXVIII Olympiad, held in Athens in 2004
Q8577	Games of the XXX Olympiad, held in London in 2012
Q8611	Italian comune
Q8667	constellation in the northern celestial hemisphere
Q8675	constellation in the northern celestial hemisphere
Q8721	international airport in Scotland
Q8760	Spanish association football club
Q8780	sports club in Spain
Q8826	city in Mallorca and capital of the Balearic Islands, Spain
Q8854	city of the Philippines in Metro Manila
Q8860	constellation straddling the celestial equator
Q8901	Central bank for the euro
Q9009	Swiss city, capital of the canton of Schaffhausen
Q9085	city of the Philippines in Metro Manila
Q9279	capital of Brunei
Q9337	federal region of Belgium
Q9365	capital of Tajikistan
Q9366	internet search engine developed by Larry Page and Sergey Brin
Q9396	German telecommunications company
Q9427	city in Mali
Q9543	Influencer, speaker, Indian film actor, producer, playback singer, writer and television personality
Q9632	7th Winter Olympics, held in Cortina d'Ampezzo, Italy
Q9634	8th edition of Winter Olympics, held in Squaw Valley (United States) in 1960
Q9642	10th edition of Winter Olympics, held in Grenoble (France) in 1968
Q9672	20th edition of Winter Olympics, held in Turin (Italy) in 2006
Q9684	American daily newspaper
Q9688	former international airport in Berlin, Germany
Q9694	airport in Haarlemmermeer, Netherlands
Q9781	municipality in the Netherlands
Q9800	municipality in Limburg, the Netherlands
Q9809	municipality in North Brabant, the Netherlands
Q9821	municipality in the Netherlands
Q9823	municipality in the Netherlands
Q9829	municipality in the Netherlands
Q9841	municipality in the Netherlands
Q9849	municipality in the Netherlands
Q9853	municipality in North Brabant, the Netherlands
Q9862	municipality in the Netherlands
Q9936	municipality in the Netherlands
Q10014	town in the Netherlands
Q10042	municipality in the Netherlands
Q10048	municipality in the province of Utrecht, the Netherlands
Q10056	municipality in the Dutch province of Utrecht
Q10078	municipality in the Netherlands
Q10134	constructed language created for ''Star Trek''
Q10184	German daily newspaper
Q10435	constellation in the southern celestial hemisphere
Q10441	minor constellation in the southern sky
Q10457	constellation in the southern celestial hemisphere
Q10467	Spanish football team and the reserve team of FC Barcelona
Q10481	constellation in the Southern Celestial Hemisphere
Q10571	constellation in the southern celestial hemisphere
Q10574	constellation in the southern celestial hemisphere
Q10686	city of the United Kingdom, capital of Northern Ireland
Q10763	town in the Leipzig district, in the Free State of Saxony, Germany
Q10919	town in the Hochsauerland district, in North Rhine-Westphalia, Germany
Q10965	river in the Iberian Peninsula
Q11149	British national daily newspaper
Q11272	spreadsheet editor, part of Microsoft Office
Q11463	American multinational computer software company
Q11938	sports club from Eindhoven, the Netherlands
Q11997	Spanish football team
Q12052	town in Saxony, Germany
Q12168	Spanish association football team
Q12193	French commune in Finistère department, Brittany
Q12461	French daily evening newspaper
Q12512	papal basilica in the Vatican
Q12517	French department
Q12544	Eastern Roman Empire during Late Antiquity and the Middle Ages
Q12560	former empire in Southeast Europe, Southwest Asia, and North Africa
Q12569	French department
Q12584	French department
Q12620	department in northwest France
Q12661	French department in Hauts-de-France
Q12700	French department
Q12746	canton of Switzerland
Q12751	French department
Q12770	French department
Q12779	French department
Q12804	French department
Q12892	municipality in the province of Antwerp, Belgium
Q12977	town in Catalonia, Spain
Q12992	city in East Flanders, Belgium
Q13135	Italian comune
Q13142	town and comune of the province of Pesaro and Urbino in the Marche region of Italy
Q13153	City in the Spanish province of Málaga
Q13329	Italian comune
Q13334	French university in Orléans created in 1966
Q13353	British Overseas Territory in the Caribbean
Q13376	Italian comune
Q13379	city in eastern Russia
Q13616	Italian comune
Q13669	region of the Philippines
Q13709	french satirical newspaper
Q13745	town of Cerdanya, province of Girona, Catalonia, Spain
Q13855	municipality in the Barcelona Province, Catalonia
Q13917	region in France where the capital Paris is located
Q13934	municipality in Catalonia, Spain
Q13936	town in Catalonia, Spain
Q13972	second largest city of Estonia
Q13974	American television and radio network
Q14126	city and the capital of West Nusa Tenggara Province, Indonesia
Q14181	city of South Kalimantan Province, Indonesia
Q14318	city of the province of Álava, autonomous community of the Basque Country, Spain
Q14381	lake at Lucerne, Switzerland
Q14420	order of chivalry of British constitutional monarchy
Q14428	Japanese developer and publisher of video games
Q14440	port city in Chile
Q14808	town in Brandenburg, Germany
Q14859	town in Bavaria, Germany
Q14887	town in Bavaria, Germany
Q14957	German city in Emsland District, Lower Saxony
Q15090	city in Catalonia, Spain
Q15174	prefecture-level city in Guangdong, China
Q15568	public research university in Hong Kong
Q15682	municipality and capital city of the Province of Cádiz, Spain
Q15732	city in Kagoshima prefecture, Japan
Q15786	German association football club
Q15862	British rock band (1970-)
Q15877	city in Slovenia
Q15918	town in northern Slovenia
Q15922	town in Slovenia
Q16003	town in Bavaria, Germany
Q16008	town in Brandenburg state, Germany
Q16015	town in Baden-Württemberg, Germany
Q16018	town in North Rhine-Westphalia, Germany
Q16069	town and district capital in the Upper Swabia region of the German state of Baden-Württemberg
Q16105	town in Wetteraukreis in Hesse, Germany
Q16107	town in North Rhine-Westphalia, Germany, seat of the district of Höxter
Q16266	subway line in South Korea
Q16394	former administrative region in France
Q16506	city in the Czech Republic
Q16558	city in Texas, USA
Q16559	capital of Texas, United States
Q16572	capital city of Guangdong Province, China
Q16580	department of Uruguay
Q16869	capital of the Eastern Roman, Latin and Ottoman Empires, currently Istanbul, Turkey
Q16947	university located in Shanghai, China
Q16967	province of China
Q17143	Soviet military space station program
Q17182	city of the Philippines in Metro Manila
Q17228	The official association football team of the Spanish autonomous community of Catalonia
Q17452	2013 open world action-adventure video game
Q17704	main airport in Hong Kong
Q17856	city in Victoria, Australia
Q17978	public transport agency
Q18097	country in East Asia
Q18259	municipality in Catalonia, Spain
Q18274	football club from Manchester, England
Q18400	Italian comune
Q18486	association football club in Wincham, England
Q18502	English football league
Q18513	association football club in Gateshead, England
Q18515	association football club in Cleethorpes, England
Q18516	association football club in Hereford, England
Q18520	association football club in Luton, England
Q18594	American video game subsidiary of Sony
Q18623	year
Q18655	town in Greater Manchester, England
Q18661	association football club in Middlesbrough, England
Q18662	association football club in Cardiff, Wales
Q18741	association football club in Tottenham, England
Q18792	year
Q18951	2006 first-person shooter video game
Q19104	five-star hotel
Q19157	Russian city
Q19214	standing body of PRC's National People's Congress
Q19313	city and administrative center of Barysaw district in the Minsk region of central Belarus
Q19353	Russian association football club
Q19431	expansion pack for the video game Grand Theft Auto
Q19490	association football club in West Bridgford, England
Q19518	French association football club
Q19587	association football club in Crewe, England
Q19616	Italy's national public service
Q19651	association football club in Yeovil, England
Q19652	works that are no longer in copyright term or were never protected by copyright law
Q20076	town in Saxony, Germany
Q20077	town in Saxony, Germany
Q20352	town in Mecklenburg-Vorpommern, Germany
Q20571	Italian comune
Q20835	town in Denmark
Q20937	province in South Korea
Q21014	municipality in the district of Nordfriesland, in Schleswig-Holstein, Germany.
Q21181	town in Denmark
Q22690	commune in Moselle, France
Q22866	Austrian association football club
Q22901	town in Germany
Q23059	political party in Hong Kong
Q23066	county in England
Q23169	county in England
Q23240	ceremonial county in England (use Q21272241 for administrative non-metropolitan county)
Q23406	seawater inlet of the Indian Ocean
Q23556	city in DeKalb and Fulton counties in Georgia, United States, county seat city of Fulton County and Georgia federated state capital city
Q23673	American television series
Q23792	geographical region in the Middle East; use Q42620 for the interim government
Q23800	capital of Malta
Q23831	American sitcom broadcast on NBC
Q24049	Diocese of the Latin Rite of the Roman Catholic Church in France
Q24576	private university in Barcelona, Catalonia, Spain
Q24603	county seat of Jackson County, Missouri, United States
Q24689	association football club from Venlo
Q24866	political party in Andorra
Q24871	2009 American epic science fiction film directed by James Cameron
Q25227	former country within the Kingdom of the Netherlands
Q25409	city in Slovakia
Q25797	city in Slovakia
Q25860	millennium
Q26013	32-month military conflict between the United States and the British Empire
Q26299	bank in the People's Republic of China
Q26397	city in Slovakia
Q26463	Chinese multinational banking company
Q26749	attempt to contain or eliminate Revolutionary France
Q27119	city in Denmark
Q27192	association football knockout tournament in the USA
Q27275	core region of the Asian continent
Q27302	central archival library and national bibliographic centre for the Federal Republic of Germany
Q27394	southernmost region of the African continent
Q27433	core region of the African continent
Q27479	northern region of the European continent
Q27530	german automotive manufacturer
Q27896	44th season of the Bundesliga
Q28003	award given by the Royal Society of London
Q28025	Historical kingdom in parts of present-day Japan
Q28206	county seat in Kennebec County, Maine, USA and Maine federated state capital city
Q28260	city in and state capital of Nebraska, United States
Q28271	city in and county seat of Anne Arundel County, Maryland, United States, and Maryland federated state capital city
Q28441	city of the Brazilian state of Maranhão
Q28470	award to recognise excellence in professional theatre
Q28604	line of the Minsk Metro
Q28848	capital of the state of Minnesota, United States; county seat of Ramsey County, Minnesota
Q28996	prefecture-level city in Liaoning, China
Q29011	2004 Japanese animated film by Hayao Miyazaki
Q29112	Russian association football club in Moscow
Q29471	market town within the Stroud district of Gloucestershire, England
Q29570	American automobile division of GM
Q29716	public university with seven campuses in northern Mexico
Q31872	town in Freising District, Bavaria, in southern Germany
Q31932	association football club in Ljubljana, Slovenia
Q31944	British colonial war
Q32120	university in the cities of Halle and Wittenberg, Germany
Q32140	Russian sports club based in Moscow
Q32141	flag carrier of Hong Kong
Q32816	British science fiction television programme
Q33264	city in and county seat of Doña Ana County, New Mexico, United States
Q33345	city in Crimea
Q33377	Jalandhar is an ancient city in the north Indian state of Punjab
Q33486	city in and capital of Connecticut, United States
Q33489	Esperanto organization
Q33518	city in and county seat of Kent County, Delaware, United States, and capital city of Delaware
Q33561	city in Chaves County, New Mexico, United States
Q33629	marginal sea of the Arctic Ocean north of Asia
Q34116	city in Thunder Bay District, province of Ontario, Canada
Q34142	language of tausug
Q34370	city in Zuid-Holland, the Netherlands
Q34600	city in Kyōto prefecture, Japan
Q34647	city in South Africa
Q34692	capital of Jamaica
Q34755	crowdfunding platform
Q34969	American author, printer, political theorist, politician, postmaster, scientist, inventor, civic activist, statesman, diplomat, Founding Father (1706-1790)
Q35361	language
Q35367	inland sea, entirely within the borders of Turkey
Q35484	Saudi Arabian city
Q35715	state of Australia
Q35881	currency
Q36008	German automobile brand owned by Daimler AG
Q36574	decade
Q36585	decade
Q36947	municipality and capital city of Bahia State, Brazil
Q37123	1991 video game
Q37643	1990–1991 war between Iraq and Coalition Forces
Q37995	former capital of Myanmar (Burma) and the current capital of Yangon Region
Q38088	federated state of Brazil
Q38124	association football club in North Macedonia
Q38555	county seat city in Santa Fe County, New Mexico, USA and New Mexico federated state capital city
Q38789	major battle of World War II
Q38807	capital city of Fiji
Q39949	South Korean public research university
Q39988	Private university located in Seoul, South Korea
Q40325	county seat of Clark County, Ohio, United States
Q40348	legal professional who helps clients and represents them in a court of law
Q40477	Indo-European ethno-linguistic group living in Central Europe, Eastern Europe, Southeastern Europe, Northern Asia, and Central Asia
Q40626	city of the Philippines and capital of the province of Leyte
Q40662	Jewish religious figure
Q40741	archdiocese located in the city of Belgrade in Serbia
Q40844	city in the municipality of Breda, North Brabant, Netherlands
Q40846	largest of the Canary Islands
Q40885	federated state of Brazil
Q41079	autonomous region of China
Q41085	University in South Korea
Q41161	province in South Korea
Q41211	municipality and capital of Puerto Rico
Q41323	form of team game played with an oval ball on a field marked out as a gridiron
Q41354	liquid consisting mainly of acetic acid and water
Q41746	Greek mythological hero
Q41753	capital city of Carinthia, Austria
Q42097	city in North Gyeongsang Province, South Korea
Q42116	city in South Korea
Q42125	human settlement
Q42137	city in South Korea
Q42140	capital of North Jeolla Province, South Korea
Q42258	skyscraper in São Paulo, Brazil
Q42369	annual film festival held in Cannes, France
Q42722	federated state of Brazil
Q42798	Buddhist temple in Java, Indonesia
Q42810	commune in Seine-Maritime, France
Q42824	federated state of Brazil
Q42979	programming language
Q43035	field of engineering that deals with electricity
Q43070	capital city of Donetsk Oblast in estern Ukraine
Q43255	federated state of Brazil
Q43295	commune in Nord, France
Q43401	A national university in Hsinchu City
Q43919	city and capital of Oregon, USA
Q44012	city of Quebec (Canada)
Q44626	third and last period of the Mesozoic era
Q44843	prefecture of Japan
Q44897	Tunisian association football club
Q45197	City with powiat rights of Poland
Q45581	archangel in Jewish, Christian, and Islamic teachings
Q45670	kingdom in Southwestern Europe between 1139 and 1910
Q45798	city in the south-central portion of Gifu Prefecture, Japan
Q45833	province of China
Q46475	state of Mexico
Q46508	state of Mexico
Q47097	province of China
Q47135	commune in Marne, France
Q47151	international airport
Q47383	commune in Ardennes, France
Q47483	municipality in Camp de Morvedre, Valencia Province, Spain
Q47492	city in the Palestinian National Authority
Q47596	major daily newspaper based in Chicago, Illinois, United States
Q47716	city in Charleston County South Carolina, United States
Q47750	Italian political party
Q48159	home ground of Manchester City Football Club in England
Q48326	prefecture of Japan
Q48485	American robotic rover exploring Gale Crater on Mars
Q48597	former municipality in Troms in Norway
Q48610	municipality in Nordland, Norway
Q48837	football league which is the fourth tier in the English football pyramid
Q48848	municipality in Troms og Finnmark, Norway
Q48879	association football club in Bradford, England
Q48924	municipality in Viken, Norway
Q49118	private research university in Chestnut Hill, Massachusetts, United States
Q49135	art museum in Boston, Massachusetts, United States
Q49142	town in Massachusetts, United States
Q49162	city in Middlesex County, Massachusetts, United States
Q49165	liberal arts college in Massachusetts
Q49179	county seat city in Worcester County, Massachusetts, United States
Q49190	city in Middlesex County, Massachusetts, United States
Q49201	county seat of Cumberland County, Maine, United States
Q49208	Private art and design college in Providence, Rhode Island
Q49212	public research university in College Station, Texas, United States
Q49213	public research university in Austin, Texas, United States
Q49229	county seat of Durham County, North Carolina, United States
Q49246	city in Colorado, United States
Q49546	chemical compound
Q49727	publicly owned television channel in Germany
Q49763	conservative party in Germany, mainly from Bavaria
Q50595	South Korean entertainment company
Q50596	South Korean record label
Q50746	rapid transit line in Paris, France
Q50753	rapid transit line in Paris, France
Q50756	rapid transit line in Paris, France
Q50757	rapid transit line in Paris, France
Q50883	town in Saxony-Anhalt, Germany
Q51682	suburb city of Phoenix, located in Maricopa County, Arizona, United States
Q52101	capital city of Zeeland, the Netherlands
Q52636	island in Spain
Q52895	Polish city
Q53081	municipality of the Philippines and capital of the province of Aurora
Q54801	Hungarian green-liberal political party, founded in 2009
Q54871	RDF query language
Q54932	province of Spain
Q55688	municipality in Spain
Q56143	private university in South Korea
Q56413	language
Q56973	international airport in Barcelona, Spain
Q57357	defensive fortification in Roman Britain
Q57756	prefecture-level city in Jiangsu, China
Q57864	municipality in Viken, Norway
Q57903	town in Saxony, Germany
Q57947	prefecture-level city in Jiangsu, China
Q57997	municipality in the Ore Mountains district of Saxony, Germany
Q58695	prefecture-level city in Hebei, China
Q58711	county in Arizona, United States
Q59261	chief administrative authority of the People's Republic of China
Q59453	railway line in Japan
Q59668	university
Q59975	municipality of Algeria
Q61157	county in Arkansas, United States
Q61713	municipality in Germany
Q61928	municipality in Germany
Q62633	predecessor state of modern Finland
Q63049	city in Iran
Q63210	total solar eclipse
Q63855	Czech Republic town
Q63896	capital of the canton of Jura, Switzerland
Q63922	municipality in the canton Geneve, Switzerland
Q64077	municipality in the canton of St. Gallen, Switzerland
Q64627	municipality in Switzerland
Q65955	fourth period of the Paleozoic era
Q66173	municipality in Switzerland
Q66616	city in Madhya Pradesh, India
Q68097	Swiss municipality in the Grisons
Q69041	town in the canton of Ticino, Switzerland
Q69148	municipality in Switzerland
Q69216	municipality in Switzerland
Q69451	municipality in Switzerland
Q69512	city and municipality in the canton of Bern, Switzerland
Q69525	municipality in Switzerland
Q69729	municipality in the canton of St. Gallen, Switzerland
Q70002	former municipality of Switzerland
Q71113	province of Castile and León, Spain
Q71154	municipality of Germany
Q71180	town in Germany, Saxony
Q71910	tile-matching puzzle video game series
Q72318	national holiday in the Japanese calendar
Q72844	association football club
Q73408	official currency of Zambia
Q73622	American animated sitcom for the Fox Broadcasting Company and Comedy Central
Q75682	2010 Japanese anime film
Q75687	personal computer line by Apple
Q75706	French Ministry of Defense
Q76255	2007 video game
Q76473	research university located in Southampton, United Kingdom
Q79015	superhero appearing in DC Comics publications and related media
Q79281	city in Arkansas, USA
Q79804	city-borough in Alaska, USA
Q79808	city in Constanța County, Romania
Q79854	political party founded in 1912
Q79941	city in and county seat of Dallas County, Alabama, United States
Q79980	city on the banks of the Ganges in the Uttar Pradesh state of India
Q80011	prefecture of Japan
Q80252	state of Mexico
Q80484	capital city of Bihar, India
Q80813	landmark skyscraper in Shanghai
Q80886	Association football club
Q80964	association football club in Brazil
Q80967	archipelago and council area off the west coast of mainland Scotland
Q81159	village and former municipality in Overijssel, the Netherlands
Q81230	German multinational conglomerate
Q81566	association football club in Albania
Q82185	commune in Charente-Maritime, France
Q82256	criminal organization and far-right political party in Greece
Q82294	arena in Salt Lake City, Utah, United States
Q82615	Italian comune
Q82690	municipality in Germany
Q82708	Christian church in England and the Mother Church of the worldwide Anglican Communion
Q83193	species of annual plant of the daisy family, most often grown as a leaf vegetable
Q83247	municipality and city in Portugal
Q83320	Highly corrosive mineral acid
Q83389	public broadcaster of Turkey
Q83825	state-owned railway operator of Norway since 1996
Q83891	empire succeeding the Parthian empire; during its height, ruled modern-day Iran, Iraq, eastern Arabia, Levant, Caucasus, Egypt, and large parts of Turkey, Central Asia, Yemen and Pakistan; the last Persian empire before
Q84125	municipality in South Holland, the Netherlands
Q85300	university in Ukraine
Q88806	municipality in Agder, Norway
Q90590	municipality in Agder, Norway
Q92689	town in Poland
Q93230	city in Punjab, Pakistan
Q93347	city in Bosnia and Herzegovina
Q93716	papal order  of knighthood
Q94473	university
Q94919	city in and county seat of Waukesha County, Wisconsin, United States
Q95041	city in the Republic of Tatarstan, Russia
Q95569	art museum in Vienna, Austria
Q99250	Undersea railway tunnel in Japan
Q101751	15th FIFA World Cup, hosted by the United States
Q102317	city and capital of the Świętokrzyskie Voivodeship in south-central Poland
Q102667	city in southeastern Russia
Q102920	12th European association football championship
Q103686	county (län) in Sweden
Q103691	county (län) in Sweden
Q103717	city in the region of Lapland in Finland
Q104036	city in Latvia
Q104302	City with powiat rights of Silesian Voivodeship, Poland
Q104778	human settlement in Republic of Bashkortostan, Russia
Q104814	1986 American science-fiction action film directed by James Cameron
Q105084	city with powiat rights of Poland in Upper Silesia
Q105444	city in Russia
Q105570	coup in Germany
Q106143	English naval administrator, politician, and diarist
Q106394	German football club
Q106583	city in Silesian Voivodeship, Poland
Q107582	city in Latvia
Q108053	county in California, United States
Q108143	county in California, United States
Q108983	municipality in Troms og Finnmark, Norway
Q109140	municipality in Innlandet, Norway
Q109499	municipality in Innlandet, Norway
Q109711	avenue in Manhattan
Q110268	former municipality in Buskerud in Norway
Q110311	municipality in Viken, Norway
Q110431	municipality in Trøndelag, Norway
Q110843	Political party in Sweden
Q112243	Motion picture award for music
Q112813	capital and largest city of the Mexican state of Durango
Q113538	municipality in Viken, Norway
Q113638	former municipality in Hordaland, Norway
Q113730	municipality in Stockholm County, Sweden
Q115329	city in Cuba
Q116002	skyscraper in New York City
Q116122	Japanese manga series
Q116681	American lunar science mission in NASA's Discovery Program
Q117433	low-fare Japanese airline
Q117676	municipality and city in Portugal
Q117728	municipality in Stockholm County, Sweden
Q118841	steep-sided canyon carved by the Colorado River in Arizona
Q119140	city and a municipality in Rio Grande do Sul, Brazil
Q119158	federal district of Brazil
Q119452	2011 single by fun. featuring Janelle Monáe
Q119882	multi-purpose sports and entertainment arena in Rome, Italy
Q120078	former German regional airline
Q121339	46th season of the Bundesliga
Q123210	conflict from 1787–1792
Q124919	city in the region of Northern Savonia in Finland
Q125378	district of Shanghai, China
Q125805	tunnel from New York City to Weehawken, New Jersey
Q125863	prefecture of Japan
Q125905	city in the Northern Cape, South Africa
Q125943	commuter rail service in Long Island, New York
Q126084	city in Israel
Q126514	unitary council area of Scotland
Q126826	American rock band
Q127076	forcible expulsion of the contents of the stomach through the mouth
Q127367	2001 film directed by Peter Jackson
Q127992	international learned society for computing
Q128291	city-building and economic simulation video game
