MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
90	<DISEASE>[X]</DISEASE> disease -lrb- <DISEASE>[X]</DISEASE> -rrb-	<DISEASE>[X]</DISEASE> disease -lrb- <DISEASE>[X]</DISEASE> -rrb-	<DISEASE></DISEASE> disease -lrb- <DISEASE></DISEASE> -rrb-	0.1859798439	0
91	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
95	effect of <DRUG>[Y]</DRUG>	effect of <DRUG>[Y]</DRUG>	effect of <DRUG></DRUG>	0.1561517862	2
96	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE>[X]</DISEASE>	treatment of <DISEASE></DISEASE>	0.6187262921	2
98	<DRUG>[Y]</DRUG> -rrb-	<DRUG>[Y]</DRUG> -rrb-	<DRUG></DRUG> -rrb-	0.161314391	0
103	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
104	gastroesophageal <DISEASE>[X]</DISEASE> disease	gastroesophageal <DISEASE>[X]</DISEASE> disease	gastroesophageal <DISEASE></DISEASE> disease	0.2028028758	1
107	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
108	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
109	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
110	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
112	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
114	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
115	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
116	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
117	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
118	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
119	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
121	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
123	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
125	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
128	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
131	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
139	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
143	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
145	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
147	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
149	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
149	<DISEASE>[X]</DISEASE> who	<DISEASE>[X]</DISEASE> who	<DISEASE></DISEASE> who	0.0994923305	0
152	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
152	<DISEASE>[X]</DISEASE> who	<DISEASE>[X]</DISEASE> who	<DISEASE></DISEASE> who	0.0994923305	0
156	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
158	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
163	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
165	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
175	effect of <DRUG>[Y]</DRUG>	effect of <DRUG>[Y]</DRUG>	effect of <DRUG></DRUG>	0.1561517862	2
176	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
177	effect of <DRUG>[Y]</DRUG>	effect of <DRUG>[Y]</DRUG>	effect of <DRUG></DRUG>	0.1561517862	2
178	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
179	effect of <DRUG>[Y]</DRUG>	effect of <DRUG>[Y]</DRUG>	effect of <DRUG></DRUG>	0.1561517862	2
181	effect of <DRUG>[Y]</DRUG>	effect of <DRUG>[Y]</DRUG>	effect of <DRUG></DRUG>	0.1561517862	2
188	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
190	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
202	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
204	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
205	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
207	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
209	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
211	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
215	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
218	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
219	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
220	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE>[X]</DISEASE>	patients with <DISEASE></DISEASE>	0.0839560343	2
226	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
230	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
233	<DRUG>[Y]</DRUG> -rrb-	<DRUG>[Y]</DRUG> -rrb-	<DRUG></DRUG> -rrb-	0.161314391	0
235	<DRUG>[Y]</DRUG> -rrb-	<DRUG>[Y]</DRUG> -rrb-	<DRUG></DRUG> -rrb-	0.161314391	0
245	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
249	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
253	patients with <DISEASE>[X]</DISEASE> -lrb-	patients with <DISEASE>[X]</DISEASE> -lrb-	patients with <DISEASE></DISEASE> -lrb-	0.1475753864	2
254	effects of <DRUG>[Y]</DRUG>	effects of <DRUG>[Y]</DRUG>	effects of <DRUG></DRUG>	0.1561517862	2
258	efficacy and tolerability of <DRUG>[Y]</DRUG>	efficacy and tolerability of <DRUG>[Y]</DRUG>	efficacy and tolerability of <DRUG></DRUG>	0.8974939615	4
260	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
262	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
265	<DISEASE>[X]</DISEASE> -lrb- vte -rrb-	<DISEASE>[X]</DISEASE> -lrb- vte -rrb-	<DISEASE></DISEASE> -lrb- vte -rrb-	0.1539554895	0
267	<DISEASE>[X]</DISEASE> -lrb- vte -rrb-	<DISEASE>[X]</DISEASE> -lrb- vte -rrb-	<DISEASE></DISEASE> -lrb- vte -rrb-	0.1539554895	0
268	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
269	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
270	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
271	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
277	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
278	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
278	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
281	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
282	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
282	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
285	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
286	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
286	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
289	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
290	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
290	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
293	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
294	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
294	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
297	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
298	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
298	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
301	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
302	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
302	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
305	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
306	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE>[X]</DISEASE>	recurrent venous <DISEASE></DISEASE>	0.2066822547	2
306	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
308	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
310	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
313	risk of venous <DISEASE>[X]</DISEASE>	risk of venous <DISEASE>[X]</DISEASE>	risk of venous <DISEASE></DISEASE>	0.2066822547	3
313	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
315	risk of venous <DISEASE>[X]</DISEASE>	risk of venous <DISEASE>[X]</DISEASE>	risk of venous <DISEASE></DISEASE>	0.2066822547	3
315	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
317	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
319	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
321	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
323	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
325	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
327	venous <DISEASE>[X]</DISEASE>	venous <DISEASE>[X]</DISEASE>	venous <DISEASE></DISEASE>	0.1111310947	1
329	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
331	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
333	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
335	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
336	background : <DRUG>[Y]</DRUG>	background : <DRUG>[Y]</DRUG>	background : <DRUG></DRUG>	0.7911603125	2
337	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE></DISEASE>	0.2066822547	3
338	background : <DRUG>[Y]</DRUG>	background : <DRUG>[Y]</DRUG>	background : <DRUG></DRUG>	0.7911603125	2
339	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE></DISEASE>	0.2066822547	3
340	background : <DRUG>[Y]</DRUG>	background : <DRUG>[Y]</DRUG>	background : <DRUG></DRUG>	0.7911603125	2
341	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE></DISEASE>	0.2066822547	3
342	background : <DRUG>[Y]</DRUG>	background : <DRUG>[Y]</DRUG>	background : <DRUG></DRUG>	0.7911603125	2
343	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE>[X]</DISEASE>	treatment of venous <DISEASE></DISEASE>	0.2066822547	3
344	<DRUG>[Y]</DRUG> for the prevention	<DRUG>[Y]</DRUG> for the prevention	<DRUG></DRUG> for the prevention	0.5634614551	0
345	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE></DISEASE>	0.6361569029	3
345	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
346	<DRUG>[Y]</DRUG> for the prevention	<DRUG>[Y]</DRUG> for the prevention	<DRUG></DRUG> for the prevention	0.5634614551	0
347	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE></DISEASE>	0.6361569029	3
347	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
348	<DRUG>[Y]</DRUG> for the prevention	<DRUG>[Y]</DRUG> for the prevention	<DRUG></DRUG> for the prevention	0.5634614551	0
349	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE></DISEASE>	0.6361569029	3
349	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
350	<DRUG>[Y]</DRUG> for the prevention	<DRUG>[Y]</DRUG> for the prevention	<DRUG></DRUG> for the prevention	0.5634614551	0
351	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE>[X]</DISEASE>	prevention of venous <DISEASE></DISEASE>	0.6361569029	3
351	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE>[X]</DISEASE> -lrb- vte -rrb-	venous <DISEASE></DISEASE> -lrb- vte -rrb-	0.2035464206	1
361	<DRUG>[Y]</DRUG> in the treatment	<DRUG>[Y]</DRUG> in the treatment	<DRUG></DRUG> in the treatment	0.6173747883	0
363	effect of <DRUG>[Y]</DRUG>	effect of <DRUG>[Y]</DRUG>	effect of <DRUG></DRUG>	0.1561517862	2
373	safety of <DRUG>[Y]</DRUG>	safety of <DRUG>[Y]</DRUG>	safety of <DRUG></DRUG>	0.0970973696	2
374	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG></DRUG> -rrb-	0.1716402204	1
375	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
378	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE>[X]</DISEASE> -rrb-	-lrb- <DISEASE></DISEASE> -rrb-	0.1701316749	1
381	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG></DRUG> -rrb-	0.1716402204	1
398	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG></DRUG> -rrb-	0.1716402204	1
401	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG></DRUG> -rrb-	0.1716402204	1
424	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG></DRUG> -rrb-	0.1716402204	1
428	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG>[Y]</DRUG> -rrb-	-lrb- <DRUG></DRUG> -rrb-	0.1716402204	1
482	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
484	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE>[X]</DISEASE> ,	patients with <DISEASE></DISEASE> ,	0.1475753864	2
493	moderate to severe <DISEASE>[X]</DISEASE>	moderate to severe <DISEASE>[X]</DISEASE>	moderate to severe <DISEASE></DISEASE>	0.1987846889	3
493	<DISEASE>[X]</DISEASE> who	<DISEASE>[X]</DISEASE> who	<DISEASE></DISEASE> who	0.0994923305	0
495	moderate to severe <DISEASE>[X]</DISEASE>	moderate to severe <DISEASE>[X]</DISEASE>	moderate to severe <DISEASE></DISEASE>	0.1987846889	3
495	<DISEASE>[X]</DISEASE> who	<DISEASE>[X]</DISEASE> who	<DISEASE></DISEASE> who	0.0994923305	0
504	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
506	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
557	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
558	<DISEASE>[X]</DISEASE> -lrb-	<DISEASE>[X]</DISEASE> -lrb-	<DISEASE></DISEASE> -lrb-	0.1413220535	0
559	<DRUG>[Y]</DRUG> -lrb-	<DRUG>[Y]</DRUG> -lrb-	<DRUG></DRUG> -lrb-	0.1597990265	0
560	<DISEASE>[X]</DISEASE> -lrb-	<DISEASE>[X]</DISEASE> -lrb-	<DISEASE></DISEASE> -lrb-	0.1413220535	0
