MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
193	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
197	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
199	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
207	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
211	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
219	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
221	<DECEASED_PERSON>[X]</DECEASED_PERSON> ( <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> ( <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> ( <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.7018416798	0
222	<DECEASED_PERSON>[X]</DECEASED_PERSON> ( <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> ( <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> ( <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.7018416798	2
232	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
242	city of <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	city of <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	city of <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.6720764277	2
257	city of <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	city of <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	city of <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.6720764277	2
278	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON>[X]</DECEASED_PERSON> , who	<DECEASED_PERSON></DECEASED_PERSON> , who	0.8855638275	0
282	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
283	city of <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	city of <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	city of <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.6720764277	2
312	 in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	 in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.6701002268	2
352	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
363	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
365	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
369	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
371	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
373	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
374	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
375	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
377	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
379	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
381	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
384	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
385	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
387	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
389	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
392	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
394	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
396	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
398	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
400	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
401	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
403	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
404	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON>[X]</DECEASED_PERSON>	 <DECEASED_PERSON></DECEASED_PERSON>	0.4770911981	1
405	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
408	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
410	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
412	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
415	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
417	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
419	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
421	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
423	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
425	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
427	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> , <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.898058704	0
428	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> , <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.898058704	2
428	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
429	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
435	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
438	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
439	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
442	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
444	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
446	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
449	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
450	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
452	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
455	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
456	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
459	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
460	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
461	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
464	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
465	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
467	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
469	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
470	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
472	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> philharmonic orchestra	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> philharmonic orchestra	<PLACE_OF_DEATH></PLACE_OF_DEATH> philharmonic orchestra	0.3089222901	0
473	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
475	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
477	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
480	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
482	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
483	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
487	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
489	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
490	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
492	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
494	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
496	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
498	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
500	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> , <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.898058704	0
501	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON>[X]</DECEASED_PERSON> , <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH>	<DECEASED_PERSON></DECEASED_PERSON> , <PLACE_OF_DEATH></PLACE_OF_DEATH>	0.898058704	2
501	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
502	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
504	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
507	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
508	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
510	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> symphony	<PLACE_OF_DEATH></PLACE_OF_DEATH> symphony	0.5632528983	0
516	hall in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	hall in <PLACE_OF_DEATH>[Y]</PLACE_OF_DEATH> ,	hall in <PLACE_OF_DEATH></PLACE_OF_DEATH> ,	0.7776045526	2
