MENTION	XMLBOTTOM	XML	PATTERN	SCORE	POS
136	<RELIGION>[Y]</RELIGION> ( ),	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ( ),	<RELIGION></RELIGION> ( ),	0.3156752602	0
141	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
142	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
142	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
148	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
152	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
154	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
156	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
160	<PERSON>[X]</PERSON> al	<PERSON>[ ' [ X ] ' ]</PERSON> al	<PERSON></PERSON> al	0.5515737334	0
169	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
173	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
176	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[ ' [ Y ] ' ]</RELIGION> , <PERSON>[ ' [ X ] ' ]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.6047577364	0
177	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[ ' [ Y ] ' ]</RELIGION> , <PERSON>[ ' [ X ] ' ]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.6047577364	2
230	<RELIGION>[Y]</RELIGION> church	<RELIGION>[ ' [ Y ] ' ]</RELIGION> church	<RELIGION></RELIGION> church	0.332218219	0
240	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
242	prime minister <PERSON>[X]</PERSON>	prime minister <PERSON>[ ' [ X ] ' ]</PERSON>	prime minister <PERSON></PERSON>	0.0761234578	2
246	prime minister <PERSON>[X]</PERSON>	prime minister <PERSON>[ ' [ X ] ' ]</PERSON>	prime minister <PERSON></PERSON>	0.0761234578	2
253	prime minister <PERSON>[X]</PERSON>	prime minister <PERSON>[ ' [ X ] ' ]</PERSON>	prime minister <PERSON></PERSON>	0.0761234578	2
256	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[ ' [ Y ] ' ]</RELIGION> , <PERSON>[ ' [ X ] ' ]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.6047577364	0
257	<RELIGION>[Y]</RELIGION> , <PERSON>[X]</PERSON>	<RELIGION>[ ' [ Y ] ' ]</RELIGION> , <PERSON>[ ' [ X ] ' ]</PERSON>	<RELIGION></RELIGION> , <PERSON></PERSON>	0.6047577364	2
268	<PERSON>[X]</PERSON> , who	<PERSON>[ ' [ X ] ' ]</PERSON> , who	<PERSON></PERSON> , who	0.2159987741	0
272	prime minister <PERSON>[X]</PERSON>	prime minister <PERSON>[ ' [ X ] ' ]</PERSON>	prime minister <PERSON></PERSON>	0.0761234578	2
278	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
278	<PERSON>[X]</PERSON> , who	<PERSON>[ ' [ X ] ' ]</PERSON> , who	<PERSON></PERSON> , who	0.2159987741	0
282	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
298	sect of <RELIGION>[Y]</RELIGION>	sect of <RELIGION>[ ' [ Y ] ' ]</RELIGION>	sect of <RELIGION></RELIGION>	0.0816315974	2
310	<PERSON>[X]</PERSON> , who	<PERSON>[ ' [ X ] ' ]</PERSON> , who	<PERSON></PERSON> , who	0.2159987741	0
316	<PERSON>[X]</PERSON> , who	<PERSON>[ ' [ X ] ' ]</PERSON> , who	<PERSON></PERSON> , who	0.2159987741	0
358	<PERSON>[X]</PERSON> in <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> in <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> in <RELIGION></RELIGION>	0.9100576757	0
359	<PERSON>[X]</PERSON> in <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> in <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> in <RELIGION></RELIGION>	0.9100576757	2
360	<PERSON>[X]</PERSON> in <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> in <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> in <RELIGION></RELIGION>	0.9100576757	0
361	<PERSON>[X]</PERSON> in <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> in <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> in <RELIGION></RELIGION>	0.9100576757	2
362	conversion to <RELIGION>[Y]</RELIGION>	conversion to <RELIGION>[ ' [ Y ] ' ]</RELIGION>	conversion to <RELIGION></RELIGION>	0.0812837714	2
368	<PERSON>[X]</PERSON> in <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> in <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> in <RELIGION></RELIGION>	0.9100576757	0
377	prophet <PERSON>[X]</PERSON>	prophet <PERSON>[ ' [ X ] ' ]</PERSON>	prophet <PERSON></PERSON>	0.2007437761	1
383	<PERSON>[X]</PERSON> , who	<PERSON>[ ' [ X ] ' ]</PERSON> , who	<PERSON></PERSON> , who	0.2159987741	0
384	conversion to <RELIGION>[Y]</RELIGION>	conversion to <RELIGION>[ ' [ Y ] ' ]</RELIGION>	conversion to <RELIGION></RELIGION>	0.0812837714	2
400	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
402	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
404	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
408	<PERSON>[X]</PERSON> , who	<PERSON>[ ' [ X ] ' ]</PERSON> , who	<PERSON></PERSON> , who	0.2159987741	0
420	non - <RELIGION>[Y]</RELIGION>	non - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	non - <RELIGION></RELIGION>	0.0667319148	2
424	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
425	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
427	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
429	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
431	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
436	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
440	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
453	leader <PERSON>[X]</PERSON> ,	leader <PERSON>[ ' [ X ] ' ]</PERSON> ,	leader <PERSON></PERSON> ,	0.1098227216	1
460	leader <PERSON>[X]</PERSON> ,	leader <PERSON>[ ' [ X ] ' ]</PERSON> ,	leader <PERSON></PERSON> ,	0.1098227216	1
461	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
464	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
465	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
490	<RELIGION>[Y]</RELIGION> world	<RELIGION>[ ' [ Y ] ' ]</RELIGION> world	<RELIGION></RELIGION> world	0.1596071758	0
492	<RELIGION>[Y]</RELIGION> scholar	<RELIGION>[ ' [ Y ] ' ]</RELIGION> scholar	<RELIGION></RELIGION> scholar	0.1504694779	0
508	<RELIGION>[Y]</RELIGION> revolutionary	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolutionary	<RELIGION></RELIGION> revolutionary	0.1504694779	0
511	<RELIGION>[Y]</RELIGION> world	<RELIGION>[ ' [ Y ] ' ]</RELIGION> world	<RELIGION></RELIGION> world	0.1596071758	0
515	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
516	time of <PERSON>[X]</PERSON>	time of <PERSON>[ ' [ X ] ' ]</PERSON>	time of <PERSON></PERSON>	0.1130612133	2
524	<RELIGION>[Y]</RELIGION> law	<RELIGION>[ ' [ Y ] ' ]</RELIGION> law	<RELIGION></RELIGION> law	0.1546762969	0
532	<RELIGION>[Y]</RELIGION> law	<RELIGION>[ ' [ Y ] ' ]</RELIGION> law	<RELIGION></RELIGION> law	0.1546762969	0
536	<RELIGION>[Y]</RELIGION> ism	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ism	<RELIGION></RELIGION> ism	0.1504694779	0
539	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
540	anti - <RELIGION>[Y]</RELIGION>	anti - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	anti - <RELIGION></RELIGION>	0.0676293507	2
540	<RELIGION>[Y]</RELIGION> law	<RELIGION>[ ' [ Y ] ' ]</RELIGION> law	<RELIGION></RELIGION> law	0.1546762969	0
549	<RELIGION>[Y]</RELIGION> republic of ,	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic of ,	<RELIGION></RELIGION> republic of ,	0.3803346848	0
558	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
560	<RELIGION>[Y]</RELIGION> law	<RELIGION>[ ' [ Y ] ' ]</RELIGION> law	<RELIGION></RELIGION> law	0.1546762969	0
569	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
571	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
572	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
576	<RELIGION>[Y]</RELIGION> revolutionary	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolutionary	<RELIGION></RELIGION> revolutionary	0.1504694779	0
578	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
580	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
582	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
585	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
586	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
587	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
588	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
589	<RELIGION>[Y]</RELIGION> ism	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ism	<RELIGION></RELIGION> ism	0.1504694779	0
592	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	0
593	<PERSON>[X]</PERSON> , <RELIGION>[Y]</RELIGION>	<PERSON>[ ' [ X ] ' ]</PERSON> , <RELIGION>[ ' [ Y ] ' ]</RELIGION>	<PERSON></PERSON> , <RELIGION></RELIGION>	0.9239525756	2
595	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
596	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
599	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
601	<RELIGION>[Y]</RELIGION> revolutionary	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolutionary	<RELIGION></RELIGION> revolutionary	0.1504694779	0
608	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
610	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
611	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
612	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
613	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
614	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
619	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
621	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
622	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
625	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
627	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
628	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
631	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
632	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
634	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
637	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
638	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
639	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
641	<RELIGION>[Y]</RELIGION> state	<RELIGION>[ ' [ Y ] ' ]</RELIGION> state	<RELIGION></RELIGION> state	0.16822562	0
645	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
647	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
650	<RELIGION>[Y]</RELIGION> state	<RELIGION>[ ' [ Y ] ' ]</RELIGION> state	<RELIGION></RELIGION> state	0.16822562	0
652	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
654	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
656	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
659	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
660	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
668	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
669	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
678	anti - <RELIGION>[Y]</RELIGION>	anti - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	anti - <RELIGION></RELIGION>	0.0676293507	2
678	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
680	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
681	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
683	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
684	<RELIGION>[Y]</RELIGION> ist	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ist	<RELIGION></RELIGION> ist	0.1596696982	0
686	<RELIGION>[Y]</RELIGION> revolutionary	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolutionary	<RELIGION></RELIGION> revolutionary	0.1504694779	0
690	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
693	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
695	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
699	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
700	<RELIGION>[Y]</RELIGION> ism	<RELIGION>[ ' [ Y ] ' ]</RELIGION> ism	<RELIGION></RELIGION> ism	0.1504694779	0
706	<RELIGION>[Y]</RELIGION> revolutionary	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolutionary	<RELIGION></RELIGION> revolutionary	0.1504694779	0
708	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
711	<RELIGION>[Y]</RELIGION> republic	<RELIGION>[ ' [ Y ] ' ]</RELIGION> republic	<RELIGION></RELIGION> republic	0.1555048683	0
712	<RELIGION>[Y]</RELIGION> revolution	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolution	<RELIGION></RELIGION> revolution	0.161425496	0
716	president <PERSON>[X]</PERSON>	president <PERSON>[ ' [ X ] ' ]</PERSON>	president <PERSON></PERSON>	0.1789096948	1
718	<RELIGION>[Y]</RELIGION> party	<RELIGION>[ ' [ Y ] ' ]</RELIGION> party	<RELIGION></RELIGION> party	0.1643439403	0
723	<RELIGION>[Y]</RELIGION> revolutionary	<RELIGION>[ ' [ Y ] ' ]</RELIGION> revolutionary	<RELIGION></RELIGION> revolutionary	0.1504694779	0
724	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
726	al - <RELIGION>[Y]</RELIGION>	al - <RELIGION>[ ' [ Y ] ' ]</RELIGION>	al - <RELIGION></RELIGION>	0.3788399691	2
